experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size,gender
SE,Data scientist,149000.0,,United States,Unknown,Unknown
SE,Data scientist,120000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,120000.0,,United States,Unknown,Unknown
SE,Data scientist,149000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,69000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,Australia,Unknown,Unknown
SE,Data scientist,140000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,Bulgaria,Unknown,Unknown
EN,Data scientist,35000.0,,Indonesia,Unknown,Unknown
SE,Data scientist,68000.0,,Germany,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,55000.0,,Malaysia,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,India,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
EN,Data scientist,36000.0,,France,Unknown,Unknown
MI,Data scientist,40000.0,,Sweden,Unknown,Unknown
EX,Data scientist,130000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,56000.0,,Portugal,Unknown,Unknown
SE,Data scientist,68000.0,,Canada,Unknown,Unknown
SE,Data scientist,104000.0,,United States,Unknown,Unknown
MI,Data scientist,62000.0,,Australia,Unknown,Unknown
SE,Data scientist,150000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
MI,Data scientist,40000.0,,Ecuador,Unknown,Unknown
SE,Data scientist,161000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,68000.0,,Lithuania,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,150000.0,,United States,Unknown,Unknown
MI,Data scientist,40000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,68000.0,,Chile,Unknown,Unknown
SE,Data scientist,68000.0,,Kenya,Unknown,Unknown
MI,Data scientist,40000.0,,Luxembourg,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,France,Unknown,Unknown
MI,Data scientist,40000.0,,France,Unknown,Unknown
SE,Data scientist,56000.0,,Canada,Unknown,Unknown
EN,Data scientist,74000.0,,United States,Unknown,Unknown
MI,Data scientist,40000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,Greece,Unknown,Unknown
EN,Data scientist,36000.0,,France,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
MI,Data scientist,40000.0,,Canada,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
MI,Data scientist,40000.0,,Germany,Unknown,Unknown
MI,Data scientist,40000.0,,Norway,Unknown,Unknown
SE,Data scientist,68000.0,,Switzerland,Unknown,Unknown
MI,Data scientist,40000.0,,Germany,Unknown,Unknown
EN,Data scientist,36000.0,,France,Unknown,Unknown
SE,Data scientist,38966.4,,Spain,Unknown,Unknown
MI,Data scientist,40000.0,,United States,Unknown,Unknown
MI,Data scientist,40000.0,,United States,Unknown,Unknown
SE,Data scientist,120000.0,,Poland,Unknown,Unknown
MI,Data scientist,40000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,India,Unknown,Unknown
SE,Data scientist,68000.0,,Bulgaria,Unknown,Unknown
SE,Data scientist,110000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,France,Unknown,Unknown
SE,Data scientist,68000.0,,Switzerland,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,81000.0,,United States,Unknown,Unknown
EN,Data scientist,36000.0,,Spain,Unknown,Unknown
EN,Data scientist,36000.0,,Canada,Unknown,Unknown
SE,Data scientist,68000.0,,Portugal,Unknown,Unknown
SE,Data scientist,68000.0,,Israel,Unknown,Unknown
MI,Data scientist,40000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,152000.0,,United States,Unknown,Unknown
MI,Data scientist,40000.0,,Canada,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
MI,Data scientist,51000.0,,Greece,Unknown,Unknown
MI,Data scientist,40000.0,,United States,Unknown,Unknown
SE,Data scientist,95000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
MI,Data scientist,40000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,South Korea,Unknown,Unknown
EN,Data scientist,36000.0,,United Kingdom,Unknown,Unknown
MI,Data scientist,135000.0,,United States,Unknown,Unknown
EN,Data scientist,36000.0,,France,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
MI,Data scientist,54120.0,,France,Unknown,Unknown
SE,Data scientist,68000.0,,Brazil,Unknown,Unknown
SE,Data scientist,68000.0,,Canada,Unknown,Unknown
SE,Data scientist,68000.0,,South Africa,Unknown,Unknown
MI,Data scientist,40000.0,,Japan,Unknown,Unknown
SE,Data scientist,68000.0,,Sweden,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
MI,Data scientist,120000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
EN,Data scientist,120000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,Thailand,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
MI,Data scientist,40000.0,,India,Unknown,Unknown
SE,Data scientist,68000.0,,Portugal,Unknown,Unknown
EN,Data scientist,56000.0,,Japan,Unknown,Unknown
SE,Data scientist,196000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,125000.0,,United States,Unknown,Unknown
EN,Data scientist,36000.0,,Portugal,Unknown,Unknown
SE,Data scientist,68000.0,,Canada,Unknown,Unknown
SE,Data scientist,68000.0,,Greece,Unknown,Unknown
MI,Data scientist,40000.0,,United Kingdom,Unknown,Unknown
MI,Data scientist,40000.0,,Germany,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
EN,Data scientist,36000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,India,Unknown,Unknown
SE,Data scientist,68000.0,,Israel,Unknown,Unknown
MI,Data scientist,40000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
SE,Data scientist,68000.0,,Canada,Unknown,Unknown
MI,Data scientist,40000.0,,Canada,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
EN,Data scientist,36000.0,,Canada,Unknown,Unknown
SE,Data scientist,68000.0,,United States,Unknown,Unknown
SE,Data scientist,68000.0,,Germany,Unknown,Unknown
MI,Data scientist,40000.0,,Germany,Unknown,Unknown
SE,Data scientist,68000.0,,Germany,Unknown,Unknown
EN,Data scientist,36000.0,,Netherlands,Unknown,Unknown
