experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size,gender
Senior,Data scientist,149000.0,,United States,Unknown,Unknown
Senior,Data scientist,120000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Senior,Data scientist,120000.0,,United States,Unknown,Unknown
Senior,Data scientist,149000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Senior,Data scientist,69000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,Australia,Unknown,Unknown
Senior,Data scientist,140000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,Bulgaria,Unknown,Unknown
Entry,Data scientist,35000.0,,Indonesia,Unknown,Unknown
Senior,Data scientist,68000.0,,Germany,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Senior,Data scientist,55000.0,,Malaysia,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,India,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Entry,Data scientist,36000.0,,France,Unknown,Unknown
Mid,Data scientist,40000.0,,Sweden,Unknown,Unknown
Executive,Data scientist,130000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Senior,Data scientist,56000.0,,Portugal,Unknown,Unknown
Senior,Data scientist,68000.0,,Canada,Unknown,Unknown
Senior,Data scientist,104000.0,,United States,Unknown,Unknown
Mid,Data scientist,62000.0,,Australia,Unknown,Unknown
Senior,Data scientist,150000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Mid,Data scientist,40000.0,,Ecuador,Unknown,Unknown
Senior,Data scientist,161000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Senior,Data scientist,68000.0,,Lithuania,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Senior,Data scientist,150000.0,,United States,Unknown,Unknown
Mid,Data scientist,40000.0,,United Kingdom,Unknown,Unknown
Senior,Data scientist,68000.0,,Chile,Unknown,Unknown
Senior,Data scientist,68000.0,,Kenya,Unknown,Unknown
Mid,Data scientist,40000.0,,Luxembourg,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,France,Unknown,Unknown
Mid,Data scientist,40000.0,,France,Unknown,Unknown
Senior,Data scientist,56000.0,,Canada,Unknown,Unknown
Entry,Data scientist,74000.0,,United States,Unknown,Unknown
Mid,Data scientist,40000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,Greece,Unknown,Unknown
Entry,Data scientist,36000.0,,France,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Mid,Data scientist,40000.0,,Canada,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Mid,Data scientist,40000.0,,Germany,Unknown,Unknown
Mid,Data scientist,40000.0,,Norway,Unknown,Unknown
Senior,Data scientist,68000.0,,Switzerland,Unknown,Unknown
Mid,Data scientist,40000.0,,Germany,Unknown,Unknown
Entry,Data scientist,36000.0,,France,Unknown,Unknown
Senior,Data scientist,38966.4,,Spain,Unknown,Unknown
Mid,Data scientist,40000.0,,United States,Unknown,Unknown
Mid,Data scientist,40000.0,,United States,Unknown,Unknown
Senior,Data scientist,120000.0,,Poland,Unknown,Unknown
Mid,Data scientist,40000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,India,Unknown,Unknown
Senior,Data scientist,68000.0,,Bulgaria,Unknown,Unknown
Senior,Data scientist,110000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,France,Unknown,Unknown
Senior,Data scientist,68000.0,,Switzerland,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Senior,Data scientist,81000.0,,United States,Unknown,Unknown
Entry,Data scientist,36000.0,,Spain,Unknown,Unknown
Entry,Data scientist,36000.0,,Canada,Unknown,Unknown
Senior,Data scientist,68000.0,,Portugal,Unknown,Unknown
Senior,Data scientist,68000.0,,Israel,Unknown,Unknown
Mid,Data scientist,40000.0,,United Kingdom,Unknown,Unknown
Senior,Data scientist,152000.0,,United States,Unknown,Unknown
Mid,Data scientist,40000.0,,Canada,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Mid,Data scientist,51000.0,,Greece,Unknown,Unknown
Mid,Data scientist,40000.0,,United States,Unknown,Unknown
Senior,Data scientist,95000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Mid,Data scientist,40000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,South Korea,Unknown,Unknown
Entry,Data scientist,36000.0,,United Kingdom,Unknown,Unknown
Mid,Data scientist,135000.0,,United States,Unknown,Unknown
Entry,Data scientist,36000.0,,France,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Mid,Data scientist,54120.0,,France,Unknown,Unknown
Senior,Data scientist,68000.0,,Brazil,Unknown,Unknown
Senior,Data scientist,68000.0,,Canada,Unknown,Unknown
Senior,Data scientist,68000.0,,South Africa,Unknown,Unknown
Mid,Data scientist,40000.0,,Japan,Unknown,Unknown
Senior,Data scientist,68000.0,,Sweden,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Mid,Data scientist,120000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Entry,Data scientist,120000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,Thailand,Unknown,Unknown
Senior,Data scientist,68000.0,,United Kingdom,Unknown,Unknown
Mid,Data scientist,40000.0,,India,Unknown,Unknown
Senior,Data scientist,68000.0,,Portugal,Unknown,Unknown
Entry,Data scientist,56000.0,,Japan,Unknown,Unknown
Senior,Data scientist,196000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Senior,Data scientist,125000.0,,United States,Unknown,Unknown
Entry,Data scientist,36000.0,,Portugal,Unknown,Unknown
Senior,Data scientist,68000.0,,Canada,Unknown,Unknown
Senior,Data scientist,68000.0,,Greece,Unknown,Unknown
Mid,Data scientist,40000.0,,United Kingdom,Unknown,Unknown
Mid,Data scientist,40000.0,,Germany,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Entry,Data scientist,36000.0,,United Kingdom,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,United States,Unknown,Unknown
Senior,Data scientist,68000.0,,India,Unknown,Unknown
Senior,Data scientist,68000.0,,Israel,Unknown,Unknown
