experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size,gender,bonus_stocks_usd
MI,Software Engineer,86592.0,0,Germany,M,Male,5412.0
MI,Backend Developer,86592.0,0,Germany,M,Male,
EN,Frontend Developer,58449.6,0,Germany,M,Male,
MI,Backend Developer,67108.8,0,Germany,M,Male,
MI,DevOps,82262.40000000001,0,Germany,S,Male,5412.0
MI,Frontend Developer,61696.8,0,Germany,S,Male,
MI,Frontend Developer,70356.0,0,Germany,L,Male,
MI,Backend Developer,60614.4,0,Germany,M,Male,
SE,Software Engineer,102828.0,0,Germany,M,Male,
EN,Data Engineer,56826.0,0,Germany,M,Female,
MI,Software Engineer,75768.0,0,Germany,S,Male,
MI,Designer (UI/UX),81180.0,0,Germany,L,Male,10174.56
MI,Backend Developer,81180.0,0,Germany,M,Male,2164.8
MI,Backend Developer,65322.840000000004,0,Germany,L,Male,
MI,Product Manager,84427.2,0,Germany,M,Male,
MI,Backend Developer,64944.0,0,Germany,L,Male,
SE,Mobile Developer,86592.0,0,Germany,M,Male,86592.0
MI,DevOps,111487.2,0,Germany,L,Male,
SE,Software Architect,108240.0,0,Germany,L,Male,
MI,Software Engineer,70356.0,0,Germany,L,Male,
MI,Backend Developer,74685.6,0,Germany,M,Male,
SE,Software Engineer,75768.0,0,Germany,M,Male,
SE,Team Lead,86592.0,0,Germany,M,Male,4329.6
MI,DevOps,81180.0,0,Germany,M,Male,10824.0
MI,Test manager,51305.76,0,Germany,L,Male,1082.4
MI,DevOps,72520.8,0,Germany,M,Male,7576.8
MI,Product Manager,75768.0,0,Germany,M,Male,
SE,Software Engineer,92004.0,0,Germany,M,Male,5412.0
MI,Backend Developer,70356.0,0,Germany,M,Male,
MI,QA Engineer,48708.0,0,Germany,M,Female,2164.8
MI,Software Engineer,86592.0,0,Germany,M,Male,
MI,Software Engineer,68191.2,0,Germany,M,Male,109.32
SE,Data Scientist,162360.0,0,Germany,L,Male,86592.0
MI,Designer (UI/UX),48708.0,0,Germany,L,Female,
MI,Software Engineer,86592.0,0,Germany,M,Male,
MI,Backend Developer,81180.0,0,Germany,M,Male,
MI,DevOps,75768.0,0,Germany,M,Male,
MI,Frontend Developer,77932.8,0,Germany,L,Male,12988.8
MI,Software Engineer,72520.8,0,Germany,L,Male,1623.6
MI,Software Engineer,95251.2,0,Germany,L,Female,38100.48
MI,Software Engineer,80097.6,0,Germany,L,Male,16236.0
MI,Software Engineer,81180.0,0,Germany,M,Male,
MI,Designer (UI/UX),64944.0,0,Germany,L,Female,
MI,Backend Developer,83344.8,0,Germany,M,Male,
MI,Backend Developer,75768.0,0,Germany,L,Female,8659.2
SE,Software Engineer,82262.40000000001,0,Germany,M,Male,10824.0
MI,Backend Developer,81180.0,0,Germany,M,Male,
MI,Designer (UI/UX),48708.0,0,Germany,L,Female,
MI,QA Engineer,64944.0,0,Germany,M,Female,
MI,Backend Developer,70356.0,0,Germany,S,Male,
MI,Backend Developer,73603.2,0,Germany,S,Male,
MI,Software Engineer,70356.0,0,Germany,M,Male,5412.0
SE,DevOps,97416.0,0,Germany,M,Male,10824.0
MI,Software Engineer,81180.0,0,Germany,M,Male,
SE,Software Engineer,75768.0,0,Germany,M,Male,
MI,Software Engineer,76309.2,0,Germany,M,Female,1082.4
MI,Backend Developer,77932.8,0,Germany,M,Male,
MI,Frontend Developer,79556.40000000001,0,Germany,S,Male,
SE,Software Engineer,77932.8,0,Germany,M,Male,77932.8
MI,Frontend Developer,67108.8,0,Germany,M,Male,
SE,Hardware Engineer,89839.2,0,Germany,L,Male,
SE,Data Scientist,119064.0,0,Germany,L,Male,32472.0
MI,Software Engineer,100663.2,0,Germany,L,Male,10824.0
MI,Software Engineer,59532.0,0,Germany,S,Male,
MI,Mobile Developer,57367.200000000004,0,Germany,S,Male,
MI,Backend Developer,59532.0,0,Germany,L,Male,
MI,Software Engineer,81180.0,0,Germany,L,Male,
MI,Software Engineer,86592.0,0,Germany,L,Male,5412.0
SE,Engineering Manager,86592.0,0,Germany,M,Male,
MI,Backend Developer,59532.0,0,Germany,L,Male,
MI,DevOps,75984.48,0,Germany,L,Male,81180.0
MI,Software Engineer,54120.0,0,Germany,S,Male,
MI,Software Engineer,84427.2,0,Germany,L,Male,
MI,Data Scientist,64944.0,0,Germany,L,Female,10824.0
SE,Software Engineer,92004.0,0,Germany,L,Male,
MI,Analytics engineer,64944.0,0,Germany,M,Female,
MI,Software Engineer,77932.8,0,Germany,M,Male,
MI,Localization producer,74144.40000000001,0,Germany,L,Male,32472.0
MI,Mobile Developer,77932.8,0,Germany,L,Male,
MI,Software Engineer,70356.0,0,Germany,M,Male,
MI,Software Engineer,64944.0,0,Germany,S,Male,
MI,QA Engineer,66026.40000000001,0,Germany,M,Female,
MI,Data Scientist,79015.2,0,Germany,M,Male,79015.2
SE,DevOps,84427.2,0,Germany,M,Male,10824.0
MI,Data Scientist,87674.40000000001,0,Germany,M,Male,
MI,Hardware Engineer,81180.0,0,Germany,M,Male,10824.0
MI,Reporting Engineer,59532.0,0,Germany,L,Female,3247.2
MI,Account Managet,54120.0,0,Germany,M,Female,
MI,QA Engineer,64944.0,0,Germany,L,Male,
SE,Software Engineer,86592.0,0,Germany,M,Male,
MI,agile master ,86592.0,0,Germany,L,Female,
MI,Software Engineer,64944.0,0,Germany,M,Male,
MI,Backend Developer,86592.0,0,Germany,L,Male,
MI,Backend Developer,84427.2,0,Germany,M,Male,4329.6
MI,Software Engineer,73603.2,0,Germany,L,Male,
MI,QA Engineer,67108.8,0,Germany,L,Female,
MI,Software Engineer,59532.0,0,Germany,S,Male,
MI,Software Engineer,67108.8,0,Germany,M,Male,
MI,Frontend Developer,77932.8,0,Germany,S,Male,
MI,QA Engineer,62779.200000000004,0,Germany,L,Male,6277.92
MI,ML Engineer,129888.0,0,Germany,L,Male,32472.0
MI,Software Engineer,81180.0,0,Germany,M,Male,
MI,Data Scientist,70356.0,0,Germany,M,Male,7576.8
MI,Solution Architect,92004.0,0,Germany,L,Male,43296.0
MI,Frontend Developer,70356.0,0,Germany,S,Male,
SE,Backend Developer,70356.0,0,Germany,M,Male,
MI,QA Engineer,54120.0,0,Germany,M,Male,
