experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size,gender,bonus_stocks_usd
MI,head of data analytics,145400.0,0.0,United States,M,Unknown,Unknown
MI,head of data analytics,88000.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,205500.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,117400.0,0.0,United States,M,Unknown,Unknown
SE,business intelligence analyst,148300.0,0.0,United States,M,Unknown,Unknown
SE,business intelligence analyst,84700.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,105000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,85000.0,0.0,United States,M,Unknown,Unknown
MI,machine learning engineer,250900.0,0.0,United States,M,Unknown,Unknown
MI,machine learning engineer,135200.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,212000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,93300.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,140000.0,0.0,Canada,M,Unknown,Unknown
SE,data scientist,110000.0,0.0,Canada,M,Unknown,Unknown
SE,data engineer/developer,270250.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,144000.0,0.0,United States,M,Unknown,Unknown
EN,ai developer,44444.0,50.0,Italy,L,Unknown,Unknown
MI,data analyst,138000.0,0.0,United States,M,Unknown,Unknown
MI,data analyst,86000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,106000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,66000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,128800.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,88854.0,0.0,United States,M,Unknown,Unknown
SE,research analyst,210000.0,0.0,United States,M,Unknown,Unknown
SE,research analyst,180000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,138000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,86000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,284400.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,150700.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,276000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,176000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,179000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,112000.0,0.0,United States,M,Unknown,Unknown
MI,machine learning operations,160000.0,0.0,United States,M,Unknown,Unknown
MI,machine learning operations,120000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,145360.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,101100.0,100.0,United States,M,Unknown,Unknown
SE,data architect,299792.0,0.0,United States,M,Unknown,Unknown
SE,data architect,187370.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,382320.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,302840.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,258800.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,199200.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,212000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,93300.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,154000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,103000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,750000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,150000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,144700.0,100.0,United States,M,Unknown,Unknown
SE,data analyst,96500.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,314100.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,169700.0,0.0,United States,M,Unknown,Unknown
EX,machine learning engineer,209700.0,0.0,United States,M,Unknown,Unknown
EX,machine learning engineer,161300.0,0.0,United States,M,Unknown,Unknown
EN,data scientist,84000.0,0.0,United States,M,Unknown,Unknown
EN,data scientist,58000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,135000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,115000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,153000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,143000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,200000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,160000.0,0.0,United States,M,Unknown,Unknown
EN,research scientist,254270.0,0.0,United States,M,Unknown,Unknown
EN,research scientist,254270.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,240000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,187000.0,0.0,United States,M,Unknown,Unknown
MI,head of data analytics,165000.0,0.0,United States,M,Unknown,Unknown
MI,head of data analytics,108750.0,0.0,United States,M,Unknown,Unknown
SE,business intelligence analyst,68750.0,0.0,United Kingdom,M,Unknown,Unknown
SE,business intelligence analyst,50000.0,0.0,United Kingdom,M,Unknown,Unknown
SE,business intelligence engineer,190000.0,0.0,United States,M,Unknown,Unknown
SE,business intelligence engineer,130000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,285200.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,168600.0,100.0,United States,M,Unknown,Unknown
EN,data scientist,61111.0,50.0,Germany,M,Unknown,Unknown
EN,data engineer/developer,66000.0,100.0,United States,M,Unknown,Unknown
MI,data engineer/developer,133000.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,58400.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,163000.0,100.0,United States,M,Unknown,Unknown
SE,data analyst,77000.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,146000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,78900.0,0.0,United States,M,Unknown,Unknown
MI,machine learning engineer,200000.0,100.0,United States,L,Unknown,Unknown
MI,machine learning engineer,100000.0,100.0,United States,L,Unknown,Unknown
SE,research scientist,195500.0,100.0,United States,M,Unknown,Unknown
SE,research scientist,141300.0,100.0,United States,M,Unknown,Unknown
MI,research engineer,128000.0,0.0,United States,M,Unknown,Unknown
MI,research engineer,64000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,85600.0,0.0,Latvia,M,Unknown,Unknown
MI,data scientist,44266.0,0.0,Latvia,M,Unknown,Unknown
MI,data engineer/developer,60000.0,0.0,United Kingdom,M,Unknown,Unknown
MI,data engineer/developer,46500.0,0.0,United Kingdom,M,Unknown,Unknown
EX,data engineer/developer,204500.0,0.0,United States,M,Unknown,Unknown
EX,data engineer/developer,130000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,81250.0,0.0,United Kingdom,M,Unknown,Unknown
SE,data scientist,50000.0,0.0,United Kingdom,M,Unknown,Unknown
SE,data engineer/developer,230000.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,149000.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,185900.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,109400.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,145000.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,125000.0,100.0,United States,M,Unknown,Unknown
SE,head of data analytics,67500.0,0.0,United Kingdom,M,Unknown,Unknown
SE,head of data analytics,60000.0,0.0,United Kingdom,M,Unknown,Unknown
SE,data architect,195000.0,0.0,United States,M,Unknown,Unknown
SE,data architect,64200.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,208500.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,165000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,59018.0,0.0,United Kingdom,M,Unknown,Unknown
SE,data analyst,52806.0,0.0,United Kingdom,M,Unknown,Unknown
MI,head of data analytics,124230.0,0.0,United States,M,Unknown,Unknown
MI,head of data analytics,68637.0,0.0,United States,M,Unknown,Unknown
EX,head of data analytics,247000.0,0.0,United States,M,Unknown,Unknown
EX,head of data analytics,182000.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,278700.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,159300.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,233200.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,144200.0,0.0,United States,M,Unknown,Unknown
EX,machine learning engineer,238500.0,0.0,United States,M,Unknown,Unknown
EX,machine learning engineer,183400.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,205500.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,132500.0,0.0,United States,M,Unknown,Unknown
MI,data analyst,134500.0,0.0,United States,M,Unknown,Unknown
MI,data analyst,100000.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,258100.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,151900.0,0.0,United States,M,Unknown,Unknown
EX,data scientist,300000.0,100.0,United States,M,Unknown,Unknown
EX,data scientist,220000.0,100.0,United States,M,Unknown,Unknown
SE,data analyst,200000.0,100.0,United States,M,Unknown,Unknown
SE,data analyst,145000.0,100.0,United States,M,Unknown,Unknown
SE,research scientist,323300.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,184700.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,253430.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,212780.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,130000.0,100.0,United States,M,Unknown,Unknown
MI,data scientist,110000.0,100.0,United States,M,Unknown,Unknown
SE,machine learning engineer,300000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,130000.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,278700.0,0.0,United States,M,Unknown,Unknown
SE,research scientist,159300.0,0.0,United States,M,Unknown,Unknown
EN,head of data analytics,27000.0,100.0,American Samoa,M,Unknown,Unknown
